"filename", "language", "Dart", "comment", "blank", "total"
"c:\Users\Kamoliddin\Documents\GitHub\clone-gg-app\lib\main.dart", "Dart", 38, 7, 14, 59
"c:\Users\Kamoliddin\Documents\GitHub\clone-gg-app\lib\src\Utility\formatter.dart", "Dart", 63, 2, 7, 72
"c:\Users\Kamoliddin\Documents\GitHub\clone-gg-app\lib\src\core\database\database_helper.dart", "Dart", 203, 15, 28, 246
"c:\Users\Kamoliddin\Documents\GitHub\clone-gg-app\lib\src\core\network\api_service.dart", "Dart", 55, 57, 12, 124
"c:\Users\Kamoliddin\Documents\GitHub\clone-gg-app\lib\src\core\network\server_service.dart", "Dart", 39, 1, 11, 51
"c:\Users\Kamoliddin\Documents\GitHub\clone-gg-app\lib\src\core\router\app_router.dart", "Dart", 67, 0, 2, 69
"c:\Users\Kamoliddin\Documents\GitHub\clone-gg-app\lib\src\core\services\api_database_service.dart", "Dart", 1838, 133, 255, 2226
"c:\Users\Kamoliddin\Documents\GitHub\clone-gg-app\lib\src\core\services\api_exceptions.dart", "Dart", 37, 1, 12, 50
"c:\Users\Kamoliddin\Documents\GitHub\clone-gg-app\lib\src\core\services\data_sync_service.dart", "Dart", 840, 96, 138, 1074
"c:\Users\Kamoliddin\Documents\GitHub\clone-gg-app\lib\src\core\services\service_locator.dart", "Dart", 67, 63, 10, 140
"c:\Users\Kamoliddin\Documents\GitHub\clone-gg-app\lib\src\core\services\shared_preferences_service.dart", "Dart", 105, 22, 26, 153
"c:\Users\Kamoliddin\Documents\GitHub\clone-gg-app\lib\src\core\services\soap_api_service.dart", "Dart", 897, 38, 95, 1030
"c:\Users\Kamoliddin\Documents\GitHub\clone-gg-app\lib\src\features\agent\data\models\business_region.dart", "Dart", 52, 0, 7, 59
"c:\Users\Kamoliddin\Documents\GitHub\clone-gg-app\lib\src\features\agent\data\models\client_contract.dart", "Dart", 148, 0, 7, 155
"c:\Users\Kamoliddin\Documents\GitHub\clone-gg-app\lib\src\features\agent\data\models\kpi_data.dart", "Dart", 111, 0, 7, 118
"c:\Users\Kamoliddin\Documents\GitHub\clone-gg-app\lib\src\features\agent\data\models\price_type.dart", "Dart", 66, 1, 9, 76
"c:\Users\Kamoliddin\Documents\GitHub\clone-gg-app\lib\src\features\agent\data\models\product_balance.dart", "Dart", 139, 0, 7, 146
"c:\Users\Kamoliddin\Documents\GitHub\clone-gg-app\lib\src\features\agent\data\models\product_brand.dart", "Dart", 46, 0, 7, 53
"c:\Users\Kamoliddin\Documents\GitHub\clone-gg-app\lib\src\features\agent\data\models\product_data.dart", "Dart", 146, 0, 7, 153
"c:\Users\Kamoliddin\Documents\GitHub\clone-gg-app\lib\src\features\agent\data\models\product_price.dart", "Dart", 84, 1, 9, 94
"c:\Users\Kamoliddin\Documents\GitHub\clone-gg-app\lib\src\features\agent\data\models\product_series.dart", "Dart", 52, 0, 7, 59
"c:\Users\Kamoliddin\Documents\GitHub\clone-gg-app\lib\src\features\agent\data\models\product_with_price.dart", "Dart", 174, 0, 7, 181
"c:\Users\Kamoliddin\Documents\GitHub\clone-gg-app\lib\src\features\agent\data\models\trading_point.dart", "Dart", 178, 0, 7, 185
"c:\Users\Kamoliddin\Documents\GitHub\clone-gg-app\lib\src\features\agent\data\models\user_warehouse.dart", "Dart", 58, 0, 7, 65
"c:\Users\Kamoliddin\Documents\GitHub\clone-gg-app\lib\src\features\agent\data\repositories\agent_repository.dart", "Dart", 242, 30, 28, 300
"c:\Users\Kamoliddin\Documents\GitHub\clone-gg-app\lib\src\features\agent\domain\repositories\agent_repository.dart", "Dart", 2, 3, 1, 6
"c:\Users\Kamoliddin\Documents\GitHub\clone-gg-app\lib\src\features\agent\presentation\pages\agent_home_modern.dart", "Dart", 1161, 66, 88, 1315
"c:\Users\Kamoliddin\Documents\GitHub\clone-gg-app\lib\src\features\agent\presentation\pages\agent_home_page.dart", "Dart", 854, 29, 61, 944
"c:\Users\Kamoliddin\Documents\GitHub\clone-gg-app\lib\src\features\agent\presentation\pages\agent_page_backup.dart", "Dart", 802, 18, 45, 865
"c:\Users\Kamoliddin\Documents\GitHub\clone-gg-app\lib\src\features\agent\presentation\pages\akb_client_report_page.dart", "Dart", 157, 1, 13, 171
"c:\Users\Kamoliddin\Documents\GitHub\clone-gg-app\lib\src\features\agent\presentation\pages\contract_detail_page.dart", "Dart", 580, 9, 39, 628
"c:\Users\Kamoliddin\Documents\GitHub\clone-gg-app\lib\src\features\agent\presentation\pages\contracts_page.dart", "Dart", 856, 22, 58, 936
"c:\Users\Kamoliddin\Documents\GitHub\clone-gg-app\lib\src\features\agent\presentation\pages\generic_report_page.dart", "Dart", 159, 2, 10, 171
"c:\Users\Kamoliddin\Documents\GitHub\clone-gg-app\lib\src\features\agent\presentation\pages\main_report_page.dart", "Dart", 908, 23, 106, 1037
"c:\Users\Kamoliddin\Documents\GitHub\clone-gg-app\lib\src\features\agent\presentation\pages\prices_page.dart", "Dart", 1036, 67, 75, 1178
"c:\Users\Kamoliddin\Documents\GitHub\clone-gg-app\lib\src\features\agent\presentation\pages\reports_page.dart", "Dart", 616, 631, 34, 1281
"c:\Users\Kamoliddin\Documents\GitHub\clone-gg-app\lib\src\features\agent\presentation\pages\settings_page.dart", "Dart", 1219, 16, 95, 1330
"c:\Users\Kamoliddin\Documents\GitHub\clone-gg-app\lib\src\features\agent\presentation\pages\trading_points_page.dart", "Dart", 1461, 172, 132, 1765
"c:\Users\Kamoliddin\Documents\GitHub\clone-gg-app\lib\src\features\agent\presentation\pages\visits_report_page.dart", "Dart", 161, 1, 14, 176
"c:\Users\Kamoliddin\Documents\GitHub\clone-gg-app\lib\src\features\agent\presentation\pages\warehouses_page.dart", "Dart", 477, 11, 31, 519
