"filename", "language", "Dart", "comment", "blank", "total"
"c:\Users\Kamoliddin\Documents\GitHub\clone-gg-app\lib\src\features\agent\presentation\widgets\data_sync_progress_widget.dart", "Dart", 163, 7, 21, 191
"c:\Users\Kamoliddin\Documents\GitHub\clone-gg-app\lib\src\features\auth\data\models\user_model.dart", "Dart", 88, 1, 6, 95
"c:\Users\Kamoliddin\Documents\GitHub\clone-gg-app\lib\src\features\auth\data\repositories\auth_repository_impl.dart", "Dart", 66, 4, 10, 80
"c:\Users\Kamoliddin\Documents\GitHub\clone-gg-app\lib\src\features\auth\domain\entities\user_entity.dart", "Dart", 25, 0, 3, 28
"c:\Users\Kamoliddin\Documents\GitHub\clone-gg-app\lib\src\features\auth\domain\repositories\auth_repository.dart", "Dart", 7, 1, 2, 10
"c:\Users\Kamoliddin\Documents\GitHub\clone-gg-app\lib\src\features\auth\presentation\bloc\auth_bloc.dart", "Dart", 49, 1, 7, 57
"c:\Users\Kamoliddin\Documents\GitHub\clone-gg-app\lib\src\features\auth\presentation\bloc\auth_event.dart", "Dart", 16, 0, 5, 21
"c:\Users\Kamoliddin\Documents\GitHub\clone-gg-app\lib\src\features\auth\presentation\bloc\auth_state.dart", "Dart", 30, 0, 11, 41
"c:\Users\Kamoliddin\Documents\GitHub\clone-gg-app\lib\src\features\auth\presentation\pages\login_page.dart", "Dart", 525, 41, 40, 606
"c:\Users\Kamoliddin\Documents\GitHub\clone-gg-app\lib\src\features\boss\presentation\pages\boss_home_page.dart", "Dart", 331, 11, 15, 357
"c:\Users\Kamoliddin\Documents\GitHub\clone-gg-app\lib\src\features\collector\presentation\pages\collector_home_page.dart", "Dart", 310, 3, 14, 327
"c:\Users\Kamoliddin\Documents\GitHub\clone-gg-app\lib\src\features\forwarder\presentation\pages\forwarder_home_page.dart", "Dart", 186, 2, 9, 197
"c:\Users\Kamoliddin\Documents\GitHub\clone-gg-app\lib\src\features\marketing\data\models\promotion_model.dart", "Dart", 213, 3, 22, 238
"c:\Users\Kamoliddin\Documents\GitHub\clone-gg-app\lib\src\features\marketing\presentation\pages\marketing_page.dart", "Dart", 71, 1, 6, 78
"c:\Users\Kamoliddin\Documents\GitHub\clone-gg-app\lib\src\features\marketing\presentation\pages\promotion_detail_page.dart", "Dart", 792, 13, 40, 845
"c:\Users\Kamoliddin\Documents\GitHub\clone-gg-app\lib\src\features\marketing\presentation\pages\promotions_page.dart", "Dart", 289, 1, 34, 324
"c:\Users\Kamoliddin\Documents\GitHub\clone-gg-app\lib\src\features\marketing\presentation\widgets\promotion_card.dart", "Dart", 115, 3, 4, 122
"c:\Users\Kamoliddin\Documents\GitHub\clone-gg-app\lib\src\features\marketing\presentation\widgets\promotion_card_shimmer.dart", "Dart", 69, 6, 3, 78
"c:\Users\Kamoliddin\Documents\GitHub\clone-gg-app\lib\src\features\navbars\agent_bottom_nav_bar.dart", "Dart", 41, 0, 3, 44
"c:\Users\Kamoliddin\Documents\GitHub\clone-gg-app\lib\src\features\navbars\fluid_nav_bar.dart", "Dart", 174, 7, 22, 203
"c:\Users\Kamoliddin\Documents\GitHub\clone-gg-app\lib\src\features\packer\presentation\pages\packer_home_page.dart", "Dart", 421, 6, 21, 448
"c:\Users\Kamoliddin\Documents\GitHub\clone-gg-app\lib\src\features\warehouse_manager\presentation\pages\warehouse_manager_home_page.dart", "Dart", 497, 9, 31, 537
"c:\Users\Kamoliddin\Documents\GitHub\clone-gg-app\lib\src\theme\theme_controller.dart", "Dart", 38, 9, 10, 57
"c:\Users\Kamoliddin\Documents\GitHub\clone-gg-app\lib\src\theme\theme_schemes.dart", "Dart", 10, 1, 6, 17
"c:\Users\Kamoliddin\Documents\GitHub\clone-gg-app\lib\src\theme\theme_toggle.dart", "Dart", 102, 4, 5, 111
"Total", "-", 20822, 1672, 1878, 24372
