"filename", "language", "Dart", "Markdown", "JSON", "comment", "blank", "total"
"c:\Users\Kamoliddin\Documents\GitHub\clone-gg-app\lib\src\core\services\shared_preferences_service.dart", "Dart", 261, 0, 0, 43, 54, 358
"c:\Users\Kamoliddin\Documents\GitHub\clone-gg-app\lib\src\core\services\soap_api_service.dart", "Dart", 1585, 0, 0, 76, 173, 1834
"c:\Users\Kamoliddin\Documents\GitHub\clone-gg-app\lib\src\core\services\telegram_bot_service.dart", "Dart", 67, 0, 0, 17, 17, 101
"c:\Users\Kamoliddin\Documents\GitHub\clone-gg-app\lib\src\core\services\telegram_token_service.dart", "Dart", 60, 0, 0, 6, 10, 76
"c:\Users\Kamoliddin\Documents\GitHub\clone-gg-app\lib\src\core\services\visit_step_sync_service.dart", "Dart", 228, 0, 0, 36, 52, 316
"c:\Users\Kamoliddin\Documents\GitHub\clone-gg-app\lib\src\core\services\weekday_utils.dart", "Dart", 76, 0, 0, 11, 11, 98
"c:\Users\Kamoliddin\Documents\GitHub\clone-gg-app\lib\src\core\widgets\permission_check_page.dart", "Dart", 439, 0, 0, 21, 47, 507
"c:\Users\Kamoliddin\Documents\GitHub\clone-gg-app\lib\src\core\widgets\permission_dialog.dart", "Dart", 345, 0, 0, 13, 31, 389
"c:\Users\Kamoliddin\Documents\GitHub\clone-gg-app\lib\src\features\agent\data\models\akb_by_category.dart", "Dart", 59, 0, 0, 0, 4, 63
"c:\Users\Kamoliddin\Documents\GitHub\clone-gg-app\lib\src\features\agent\data\models\business_region.dart", "Dart", 52, 0, 0, 0, 7, 59
"c:\Users\Kamoliddin\Documents\GitHub\clone-gg-app\lib\src\features\agent\data\models\business_region_report.dart", "Dart", 59, 0, 0, 0, 4, 63
"c:\Users\Kamoliddin\Documents\GitHub\clone-gg-app\lib\src\features\agent\data\models\client_contract.dart", "Dart", 282, 0, 0, 2, 14, 298
"c:\Users\Kamoliddin\Documents\GitHub\clone-gg-app\lib\src\features\agent\data\models\create_order.dart", "Dart", 539, 0, 0, 5, 32, 576
"c:\Users\Kamoliddin\Documents\GitHub\clone-gg-app\lib\src\features\agent\data\models\kpi_data.dart", "Dart", 111, 0, 0, 0, 7, 118
"c:\Users\Kamoliddin\Documents\GitHub\clone-gg-app\lib\src\features\agent\data\models\main_report.dart", "Dart", 89, 0, 0, 0, 4, 93
"c:\Users\Kamoliddin\Documents\GitHub\clone-gg-app\lib\src\features\agent\data\models\order.dart", "Dart", 167, 0, 0, 0, 7, 174
"c:\Users\Kamoliddin\Documents\GitHub\clone-gg-app\lib\src\features\agent\data\models\order_detail.dart", "Dart", 305, 0, 0, 0, 23, 328
"c:\Users\Kamoliddin\Documents\GitHub\clone-gg-app\lib\src\features\agent\data\models\order_status.dart", "Dart", 42, 0, 0, 0, 7, 49
"c:\Users\Kamoliddin\Documents\GitHub\clone-gg-app\lib\src\features\agent\data\models\planned_route.dart", "Dart", 81, 0, 0, 4, 7, 92
"c:\Users\Kamoliddin\Documents\GitHub\clone-gg-app\lib\src\features\agent\data\models\price_type.dart", "Dart", 66, 0, 0, 1, 9, 76
"c:\Users\Kamoliddin\Documents\GitHub\clone-gg-app\lib\src\features\agent\data\models\product_balance.dart", "Dart", 139, 0, 0, 0, 7, 146
"c:\Users\Kamoliddin\Documents\GitHub\clone-gg-app\lib\src\features\agent\data\models\product_brand.dart", "Dart", 46, 0, 0, 0, 7, 53
"c:\Users\Kamoliddin\Documents\GitHub\clone-gg-app\lib\src\features\agent\data\models\product_data.dart", "Dart", 146, 0, 0, 0, 7, 153
"c:\Users\Kamoliddin\Documents\GitHub\clone-gg-app\lib\src\features\agent\data\models\product_price.dart", "Dart", 84, 0, 0, 1, 9, 94
"c:\Users\Kamoliddin\Documents\GitHub\clone-gg-app\lib\src\features\agent\data\models\product_series.dart", "Dart", 52, 0, 0, 0, 7, 59
"c:\Users\Kamoliddin\Documents\GitHub\clone-gg-app\lib\src\features\agent\data\models\product_with_price.dart", "Dart", 174, 0, 0, 0, 7, 181
"c:\Users\Kamoliddin\Documents\GitHub\clone-gg-app\lib\src\features\agent\data\models\sales_req_permissions.dart", "Dart", 165, 0, 0, 0, 9, 174
"c:\Users\Kamoliddin\Documents\GitHub\clone-gg-app\lib\src\features\agent\data\models\trading_point.dart", "Dart", 211, 0, 0, 4, 12, 227
"c:\Users\Kamoliddin\Documents\GitHub\clone-gg-app\lib\src\features\agent\data\models\trading_point_with_permissions.dart", "Dart", 86, 0, 0, 12, 15, 113
"c:\Users\Kamoliddin\Documents\GitHub\clone-gg-app\lib\src\features\agent\data\models\user_organization.dart", "Dart", 64, 0, 0, 12, 12, 88
"c:\Users\Kamoliddin\Documents\GitHub\clone-gg-app\lib\src\features\agent\data\models\user_warehouse.dart", "Dart", 58, 0, 0, 0, 7, 65
"c:\Users\Kamoliddin\Documents\GitHub\clone-gg-app\lib\src\features\agent\data\models\visit_data.dart", "Dart", 232, 0, 0, 6, 17, 255
"c:\Users\Kamoliddin\Documents\GitHub\clone-gg-app\lib\src\features\agent\data\models\visit_plan.dart", "Dart", 77, 0, 0, 0, 4, 81
"c:\Users\Kamoliddin\Documents\GitHub\clone-gg-app\lib\src\features\agent\data\models\visit_plan_list.dart", "Dart", 71, 0, 0, 0, 4, 75
"c:\Users\Kamoliddin\Documents\GitHub\clone-gg-app\lib\src\features\agent\data\repositories\agent_repository.dart", "Dart", 267, 0, 0, 33, 29, 329
"c:\Users\Kamoliddin\Documents\GitHub\clone-gg-app\lib\src\features\agent\data\repositories\visit_data_repository.dart", "Dart", 124, 0, 0, 34, 32, 190
"c:\Users\Kamoliddin\Documents\GitHub\clone-gg-app\lib\src\features\agent\domain\repositories\agent_repository.dart", "Dart", 2, 0, 0, 3, 1, 6
"c:\Users\Kamoliddin\Documents\GitHub\clone-gg-app\lib\src\features\agent\presentation\pages\agent_home_modern.dart", "Dart", 1858, 0, 0, 81, 165, 2104
"c:\Users\Kamoliddin\Documents\GitHub\clone-gg-app\lib\src\features\agent\presentation\pages\agent_home_page.dart", "Dart", 863, 0, 0, 27, 64, 954
"c:\Users\Kamoliddin\Documents\GitHub\clone-gg-app\lib\src\features\agent\presentation\pages\agent_page_backup.dart", "Dart", 802, 0, 0, 18, 45, 865
"c:\Users\Kamoliddin\Documents\GitHub\clone-gg-app\lib\src\features\agent\presentation\pages\akb_client_report_page.dart", "Dart", 157, 0, 0, 1, 13, 171
"c:\Users\Kamoliddin\Documents\GitHub\clone-gg-app\lib\src\features\agent\presentation\pages\contract_detail_page.dart", "Dart", 584, 0, 0, 10, 39, 633
"c:\Users\Kamoliddin\Documents\GitHub\clone-gg-app\lib\src\features\agent\presentation\pages\contracts_page.dart", "Dart", 902, 0, 0, 40, 76, 1018
"c:\Users\Kamoliddin\Documents\GitHub\clone-gg-app\lib\src\features\agent\presentation\pages\db_view_page.dart", "Dart", 1412, 0, 0, 70, 99, 1581
"c:\Users\Kamoliddin\Documents\GitHub\clone-gg-app\lib\src\features\agent\presentation\pages\fullscreen_map_page.dart", "Dart", 268, 0, 0, 19, 23, 310
