"filename", "language", "Dart", "JSON", "Markdown", "comment", "blank", "total"
"c:\Users\Kamoliddin\Documents\GitHub\clone-gg-app\lib\src\features\agent\data\models\main_report.dart", "Dart", 89, 0, 0, 0, 4, 93
"c:\Users\Kamoliddin\Documents\GitHub\clone-gg-app\lib\src\features\agent\data\models\order.dart", "Dart", 167, 0, 0, 0, 7, 174
"c:\Users\Kamoliddin\Documents\GitHub\clone-gg-app\lib\src\features\agent\data\models\order_detail.dart", "Dart", 305, 0, 0, 0, 23, 328
"c:\Users\Kamoliddin\Documents\GitHub\clone-gg-app\lib\src\features\agent\data\models\order_status.dart", "Dart", 42, 0, 0, 0, 7, 49
"c:\Users\Kamoliddin\Documents\GitHub\clone-gg-app\lib\src\features\agent\data\models\planned_route.dart", "Dart", 81, 0, 0, 4, 7, 92
"c:\Users\Kamoliddin\Documents\GitHub\clone-gg-app\lib\src\features\agent\data\models\sales_req_permissions.dart", "Dart", 147, 0, 0, 0, 9, 156
"c:\Users\Kamoliddin\Documents\GitHub\clone-gg-app\lib\src\features\agent\data\models\trading_point.dart", "Dart", 33, 0, 0, 4, 5, 42
"c:\Users\Kamoliddin\Documents\GitHub\clone-gg-app\lib\src\features\agent\data\models\trading_point_with_permissions.dart", "Dart", 83, 0, 0, 11, 15, 109
"c:\Users\Kamoliddin\Documents\GitHub\clone-gg-app\lib\src\features\agent\data\models\visit_plan.dart", "Dart", 77, 0, 0, 0, 4, 81
"c:\Users\Kamoliddin\Documents\GitHub\clone-gg-app\lib\src\features\agent\data\models\visit_plan_list.dart", "Dart", 71, 0, 0, 0, 4, 75
"c:\Users\Kamoliddin\Documents\GitHub\clone-gg-app\lib\src\features\agent\data\repositories\agent_repository.dart", "Dart", 25, 0, 0, 3, 1, 29
"c:\Users\Kamoliddin\Documents\GitHub\clone-gg-app\lib\src\features\agent\presentation\pages\agent_home_modern.dart", "Dart", 709, 0, 0, 3, 77, 789
"c:\Users\Kamoliddin\Documents\GitHub\clone-gg-app\lib\src\features\agent\presentation\pages\agent_home_page.dart", "Dart", 9, 0, 0, -2, 3, 10
"c:\Users\Kamoliddin\Documents\GitHub\clone-gg-app\lib\src\features\agent\presentation\pages\contract_detail_page.dart", "Dart", 4, 0, 0, 1, 0, 5
"c:\Users\Kamoliddin\Documents\GitHub\clone-gg-app\lib\src\features\agent\presentation\pages\contracts_page.dart", "Dart", 46, 0, 0, 18, 18, 82
"c:\Users\Kamoliddin\Documents\GitHub\clone-gg-app\lib\src\features\agent\presentation\pages\db_view_page.dart", "Dart", 978, 0, 0, 21, 58, 1057
"c:\Users\Kamoliddin\Documents\GitHub\clone-gg-app\lib\src\features\agent\presentation\pages\main_agent_screen.dart", "Dart", 40, 0, 0, 4, 6, 50
"c:\Users\Kamoliddin\Documents\GitHub\clone-gg-app\lib\src\features\agent\presentation\pages\main_report_page.dart", "Dart", 683, 0, 0, 233, 34, 950
"c:\Users\Kamoliddin\Documents\GitHub\clone-gg-app\lib\src\features\agent\presentation\pages\order_details_page.dart", "Dart", 260, 0, 0, 18, 27, 305
"c:\Users\Kamoliddin\Documents\GitHub\clone-gg-app\lib\src\features\agent\presentation\pages\orders_page.dart", "Dart", 399, 0, 0, 33, 48, 480
"c:\Users\Kamoliddin\Documents\GitHub\clone-gg-app\lib\src\features\agent\presentation\pages\reports_page.dart", "Dart", 120, 0, 0, 27, 18, 165
"c:\Users\Kamoliddin\Documents\GitHub\clone-gg-app\lib\src\features\agent\presentation\pages\settings_page.dart", "Dart", 479, 0, 0, 14, 40, 533
"c:\Users\Kamoliddin\Documents\GitHub\clone-gg-app\lib\src\features\agent\presentation\pages\shared\new_ui_for_agent.dart", "Dart", 642, 0, 0, 24, 87, 753
"c:\Users\Kamoliddin\Documents\GitHub\clone-gg-app\lib\src\features\agent\presentation\pages\trading_points_page.dart", "Dart", 793, 0, 0, 6, 95, 894
"c:\Users\Kamoliddin\Documents\GitHub\clone-gg-app\lib\src\features\agent\presentation\shared\formatters.dart", "Dart", 5, 0, 0, 3, 5, 13
"c:\Users\Kamoliddin\Documents\GitHub\clone-gg-app\lib\src\features\agent\presentation\shared\order_status_utils.dart", "Dart", 30, 0, 0, 3, 6, 39
"c:\Users\Kamoliddin\Documents\GitHub\clone-gg-app\lib\src\features\agent\presentation\widgets\contract_models.dart", "Dart", 33, 0, 0, 0, 6, 39
"c:\Users\Kamoliddin\Documents\GitHub\clone-gg-app\lib\src\features\agent\presentation\widgets\contracts_filters_panel.dart", "Dart", 138, 0, 0, 3, 9, 150
"c:\Users\Kamoliddin\Documents\GitHub\clone-gg-app\lib\src\features\agent\presentation\widgets\data_sync_progress_widget.dart", "Dart", 6, 0, 0, 0, 0, 6
"c:\Users\Kamoliddin\Documents\GitHub\clone-gg-app\lib\src\features\agent\presentation\widgets\modern_date_range_picker.dart", "Dart", 399, 0, 0, 16, 32, 447
"c:\Users\Kamoliddin\Documents\GitHub\clone-gg-app\lib\src\features\agent\presentation\widgets\order_card.dart", "Dart", 89, 0, 0, 3, 8, 100
"c:\Users\Kamoliddin\Documents\GitHub\clone-gg-app\lib\src\features\agent\presentation\widgets\order_card_grid.dart", "Dart", 198, 0, 0, 9, 17, 224
"c:\Users\Kamoliddin\Documents\GitHub\clone-gg-app\lib\src\features\agent\presentation\widgets\order_detail_sections.dart", "Dart", 88, 0, 0, 4, 8, 100
"c:\Users\Kamoliddin\Documents\GitHub\clone-gg-app\lib\src\features\agent\presentation\widgets\order_filters_panel.dart", "Dart", 89, 0, 0, 3, 8, 100
"c:\Users\Kamoliddin\Documents\GitHub\clone-gg-app\lib\src\features\agent\presentation\widgets\order_models.dart", "Dart", 96, 0, 0, 0, 7, 103
"c:\Users\Kamoliddin\Documents\GitHub\clone-gg-app\lib\src\features\agent\presentation\widgets\status_chip.dart", "Dart", 27, 0, 0, 3, 3, 33
"c:\Users\Kamoliddin\Documents\GitHub\clone-gg-app\lib\src\features\agent\presentation\widgets\trading_points_filters_panel.dart", "Dart", 96, 0, 0, 5, 6, 107
"c:\Users\Kamoliddin\Documents\GitHub\clone-gg-app\lib\src\features\agent\presentation\widgets\visit_indicators.dart", "Dart", 117, 0, 0, 3, 14, 134
"c:\Users\Kamoliddin\Documents\GitHub\clone-gg-app\lib\src\features\auth\data\models\user_model.dart", "Dart", 15, 0, 0, 1, 1, 17
"c:\Users\Kamoliddin\Documents\GitHub\clone-gg-app\lib\src\features\auth\data\repositories\auth_repository_impl.dart", "Dart", 3, 0, 0, 0, 0, 3
"c:\Users\Kamoliddin\Documents\GitHub\clone-gg-app\lib\src\features\auth\domain\entities\user_entity.dart", "Dart", 6, 0, 0, 0, 0, 6
"c:\Users\Kamoliddin\Documents\GitHub\clone-gg-app\lib\src\features\auth\presentation\bloc\auth_bloc.dart", "Dart", 47, 0, 0, 10, 11, 68
"c:\Users\Kamoliddin\Documents\GitHub\clone-gg-app\lib\src\features\auth\presentation\pages\login_page.dart", "Dart", 92, 0, 0, 24, 8, 124
"c:\Users\Kamoliddin\Documents\GitHub\clone-gg-app\lib\src\features\navbars\agent_bottom_nav_bar.dart", "Dart", 18, 0, 0, 0, 4, 22
"c:\Users\Kamoliddin\Documents\GitHub\clone-gg-app\lib\src\features\navbars\fluid_nav_bar.dart", "Dart", 5, 0, 0, 0, 0, 5
"c:\Users\Kamoliddin\Documents\GitHub\clone-gg-app\lib\src\theme\theme_schemes.dart", "Dart", 95, 0, 0, 8, 5, 108
"Total", "-", 20535, 1206, 415, 2921, 3741, 28818
